"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor"
"21-DEC-2018",2018-12-21 08:54:31,"2018-12-21","8H 54M 31S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,120190.6015625,64991.70703125,121219,54627.16015625,65654.9375,54562,5932.5302734375,6156,5821.169921875,6073,6055.2001953125,6361,4856.97998046875,4784,6968.22021484375,6853,5721.64990234375,5508,5928.69970703125,5754,6545.81005859375,6208,6198.3701171875,4981,9433.5,9384,8618,8541,7942.5,7936,6552,6565,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2018",2018-12-20 08:51:38,"2018-12-20","8H 51M 38S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,124757.59375,64721.84765625,126312,53690.91796875,64437.515625,54503,5744.60986328125,5844,5921.22021484375,6046,6123.93017578125,6292,4824.080078125,4838,7097.93994140625,7078,5812.5498046875,5274,6013.5400390625,5520,6705.39013671875,5979,6398.35009765625,5018,8731.5,8547,7882.5,7700,7488,7366,6265,6182,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2018",2018-12-19 09:03:52,"2018-12-19","9H 3M 52S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,121996.9375,65430.0078125,122031,54790.720703125,65722.53515625,54647.5,5826.8251953125,5715,5954.2802734375,5869,6236.16015625,6173.5,4799.64013671875,4732.5,7154.33984375,7026,6292.2998046875,5249,6748.31494140625,5767,6967.98974609375,5712,6526.6201171875,5190,9460,9382,8605,8534,8254,8215,6849,6838,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2018",2018-12-18 15:12:34,"2018-12-18","15H 12M 34S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,127509.1640625,65112.14453125,128313,54720.21875,65362.078125,54840,5717.64013671875,5835,5759.39990234375,5912,6123.06005859375,6309,4870.14013671875,4813,7094.18017578125,6969,6191.2998046875,5453,6398.35009765625,5708,6900.31982421875,5951,6550.85986328125,4974,9233.5,8971,8304.5,8067,7743,7547,6520,6383,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2018",2018-12-18 09:02:33,"2018-12-18","9H 2M 33S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,133134.359375,64967.1875,134520.5,53735.5703125,63867.859375,55230.5,7405.0048828125,7623,6692.91015625,6987,6575.4599609375,6884,4923.25,4936.5,6768.46997070312,6718.5,7088.17993164062,6091,7482.080078125,6544.5,7809.31982421875,6616,6878.10009765625,5605,8096,7995,7435.5,7289,6043.75,6009.5,4802,4784.5,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2018",2018-12-17 08:31:41,"2018-12-17","8H 31M 41S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,134556.359375,65539.875,134429.5,56312.111328125,64980.771484375,57033,7719.94506835938,7992,6867.34521484375,7217,6760.77001953125,7164,5101.84985351562,5031,6943.77978515625,6785,7112.92504882812,6193.5,7561.86987304688,6627,8019.90502929688,6835,6820.53002929688,5516,8443.5,8414,7888.5,7772,6364.5,6380.5,4994.5,5009,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2018",2018-12-14 09:08:51,"2018-12-14","9H 8M 51S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,135757.546875,65368.2578125,136058,56527.83984375,64546.703125,57300,6360.56982421875,6561,5639.33984375,5872,5673.27001953125,5946,5141.7998046875,5104,6946.60009765625,6869,6727.60986328125,5754,7161.91015625,6258,7661.85986328125,6448,6686.19970703125,5602,8270.5,8233,7615,7541,6148.5,6141,4880,4888,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2018",2018-12-13 08:39:45,"2018-12-13","8H 39M 45S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,135266.96875,65775.484375,134791,57231.8984375,65299.01953125,57539,6690.2998046875,6917,6031.7099609375,6296,6088.26025390625,6375,5094.7998046875,5025,7052.81982421875,6891,6442.7900390625,5519,6859.919921875,5956,7435.6201171875,6268,6609.43994140625,5637,8433,8388,7743.5,7637,6380,6368,5052,5049,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2018",2018-12-12 08:37:58,"2018-12-12","8H 37M 58S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,133905,65626.046875,133740,56334.19921875,64951.9453125,56882,7068.75,7259,6365.7900390625,6588,6447.56982421875,6709,5139.919921875,5085,7041.5400390625,6904,6743.77001953125,5656,7313.41015625,6332,7573.98974609375,6268,6699.330078125,5675,8475.5,8417,7834,7732,6461.5,6436,5130.5,5129,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2018",2018-12-11 10:04:22,"2018-12-11","10H 4M 22S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,132438.765625,65443.2890625,132658,55067.078125,64766.91015625,55896,7662.08984375,7770,7291.47021484375,7443,7264.5,7459,4989.52001953125,4956,6902.419921875,6787,7029.60009765625,5834,7661.85986328125,6545,7647.7197265625,6303,6878.10009765625,5675,8376,8259,7765.5,7592,6674.5,6598,5228.5,5191,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEC-2018",2018-12-10 08:45:47,"2018-12-10","8H 45M 47S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,133293.1484375,65787.390625,132807,56355.349609375,65168.16796875,56636,7119.2099609375,7358.5,6534.56982421875,6786,6572.4150390625,6867,5156.83984375,5091,7210.73974609375,7039,6614.99487304688,5532.5,7296.23974609375,6316,7588.1298828125,6238,6850.830078125,5783.5,8783.75,8780.5,8113.25,8074,6858,6885,5454,5494.5,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2018",2018-12-06 08:44:04,"2018-12-06","8H 44M 4S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,133560.5703125,65438.55859375,133865.5,55291.73828125,64630.92578125,56012.5,6768.60009765625,6997.5,6322.2900390625,6580,6466.27490234375,6772.5,5060.02001953125,5043.5,7159.51000976562,7037,6829.6201171875,5691,7459.85986328125,6419.5,7712.86499023438,6324.5,6804.3701171875,5709,8482.5,8491,7776,7739.5,6681.5,6704.5,5465.75,5504,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2018",2018-12-05 08:58:07,"2018-12-05","8H 58M 7S","Unknown","LSRII","1","",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,134215.078125,64788.984375,135828.5,53246.76953125,63567.361328125,54908,7385.43017578125,7640,7181.85009765625,7481.5,7217.52001953125,7561,4885.18017578125,4936,7018.0400390625,7001,6932.64013671875,5922,7579.544921875,6629,7837.09497070312,6607,6967.48486328125,5719,8193.5,8165,7557.75,7461,6562.5,6572,5321.5,5342,62.63,0,26.89,43.25,0.87,0.94,1.01,0.5
"04-DEC-2018",2018-12-04 09:03:36,"2018-12-04","9H 3M 36S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,133946.875,65520.33203125,134009,55621.6796875,64663.19921875,56368,7382.81982421875,7617,6924.330078125,7210,7111.3798828125,7431,5078.81982421875,5059,7248.33984375,7135,7061.919921875,6044,7754.77978515625,6781,8075.9599609375,6802,6937.68994140625,5605,8495,8488,7866.5,7807,6702,6738,5533.5,5573,NA,NA,NA,NA,NA,NA,NA,NA
"03-DEC-2018",2018-12-03 08:57:48,"2018-12-03","8H 57M 48S","Unknown","2.16.0","Unknown","Unknown",570,570,570,242,242,242,450,450,464,464,390,390,444,444,471,471,420,420,388,388,500,500,406,406,625,625,641,641,525,525,400,400,135114.5,65544.21875,135139,56481.78125,64994.171875,56950,7681.22998046875,7976,7797.81005859375,8156,8047.5,8449,5171.8798828125,5129,7691.080078125,7557,6412.48974609375,6149,6878.10009765625,6665,7501.27001953125,7144,6704.3798828125,5422,8465,8457,7866.5,7789,7259,7276,6124.5,6160,NA,NA,NA,NA,NA,NA,NA,NA
